id	nombre	tipo	fuente	region	provincia	comuna	CAUSA	QUE_HACE_FALTA	bahia_mas_cercana	bahia_con_restricciones	bahia_con_cierres	es_caleta_pesquera	actividades
172	Caleta Pesquera Llico de Vichuquén	Caleta	MOP	07	Curicó	Vichuquén	fuera de todo radio	ampliar el radio a 42 km, o una bahía que hoy no está en BAHIA_COORDS	95 PICHILEMU @41.7km	sí	sí	no	
171	Caleta Pesquera Boyeruca	Caleta	MOP	07	Curicó	Vichuquén	fuera de todo radio	ampliar el radio a 35 km, o una bahía que hoy no está en BAHIA_COORDS	95 PICHILEMU @34.3km	sí	sí	no	
114	Caleta Pesquera Matanzas	Caleta	MOP	06	Cardenal Caro	Navidad	fuera de todo radio	ampliar el radio a 36 km, o una bahía que hoy no está en BAHIA_COORDS	96 LAGO RAPEL @35.3km	no	no	no	
116	Infraestructura deportiva Sector Matanzas	Infraestructura Portuaria	MOP	06	Cardenal Caro	Navidad	fuera de todo radio	ampliar el radio a 36 km, o una bahía que hoy no está en BAHIA_COORDS	96 LAGO RAPEL @35.2km	no	no	no	
115	Borde Costero Matanzas	Defensa Costera	MOP	06	Cardenal Caro	Navidad	fuera de todo radio	ampliar el radio a 36 km, o una bahía que hoy no está en BAHIA_COORDS	96 LAGO RAPEL @35.2km	no	no	no	
113	Caleta Pesquera Boca de Rapel	Caleta	MOP	06	Cardenal Caro	Navidad	fuera de todo radio	ampliar el radio a 37 km, o una bahía que hoy no está en BAHIA_COORDS	96 LAGO RAPEL @36.7km	no	no	no	
82	Defensa Costera Sector La Marina	Defensa Costera	MOP	05	Valparaíso	Viña del Mar	empate entre candidatas	adjudicación humana entre: 92 BAHÍA DE VALPARAÍSO @6.5km  vs  173 BAHÍA CONCÓN @12.1km	92 BAHÍA DE VALPARAÍSO @6.5km	sí	sí	no	
77	Defensa Costera Sector Desembocadura Sur Marga-Marga	Defensa Costera	MOP	05	Valparaíso	Viña del Mar	empate entre candidatas	adjudicación humana entre: 92 BAHÍA DE VALPARAÍSO @6.7km  vs  173 BAHÍA CONCÓN @12.0km	92 BAHÍA DE VALPARAÍSO @6.7km	sí	sí	no	
103	Muelle Vergara	Muelle	MOP	05	Valparaíso	Viña del Mar	empate entre candidatas	adjudicación humana entre: 92 BAHÍA DE VALPARAÍSO @7.8km  vs  173 BAHÍA CONCÓN @10.9km	92 BAHÍA DE VALPARAÍSO @7.8km	sí	sí	no	
109	Defensa Costera Sector los Marineros	Defensa Costera	MOP	05	Valparaíso	Viña del Mar	empate entre candidatas	adjudicación humana entre: 173 BAHÍA CONCÓN @8.6km  vs  92 BAHÍA DE VALPARAÍSO @9.2km	173 BAHÍA CONCÓN @8.6km	sí	no	no	
107	Defensa Costera Sector Jardín del Mar	Defensa Costera	MOP	05	Valparaíso	Viña del Mar	empate entre candidatas	adjudicación humana entre: 173 BAHÍA CONCÓN @6.6km  vs  92 BAHÍA DE VALPARAÍSO @10.5km	173 BAHÍA CONCÓN @6.6km	sí	no	no	
108	Defensa Costera Sector Cochoa	Defensa Costera	MOP	05	Valparaíso	Viña del Mar	empate entre candidatas	adjudicación humana entre: 173 BAHÍA CONCÓN @4.7km  vs  92 BAHÍA DE VALPARAÍSO @12.0km	173 BAHÍA CONCÓN @4.7km	sí	no	no	
83	Caleta Pesquera Loncura	Caleta	MOP	05	Valparaíso	Quintero	empate entre candidatas	adjudicación humana entre: 91 BAHÍA DE QUINTERO @2.3km  vs  219 SECTOR NORTE QUINTERO @4.3km	91 BAHÍA DE QUINTERO @2.3km	sí	sí	no	
778	Puerto Ventanas	puerto	BEM				empate entre candidatas	adjudicación humana entre: 219 SECTOR NORTE QUINTERO @4.8km  vs  91 BAHÍA DE QUINTERO @6.5km	219 SECTOR NORTE QUINTERO @4.8km	sí	no	no	
539	Caleta Pesquera Ventanas	Caleta	MOP	05	Valparaíso	Puchuncaví	empate entre candidatas	adjudicación humana entre: 219 SECTOR NORTE QUINTERO @3.8km  vs  91 BAHÍA DE QUINTERO @5.8km	219 SECTOR NORTE QUINTERO @3.8km	sí	no	no	
104	Borde Costero de Horcon	Defensa Costera	MOP	05	Valparaíso	Puchuncaví	empate entre candidatas	adjudicación humana entre: 219 SECTOR NORTE QUINTERO @6.0km  vs  91 BAHÍA DE QUINTERO @9.1km	219 SECTOR NORTE QUINTERO @6.0km	sí	no	no	
80	Caleta Pesquera Horcón	Caleta	MOP	05	Valparaíso	Puchuncaví	empate entre candidatas	adjudicación humana entre: 219 SECTOR NORTE QUINTERO @6.1km  vs  91 BAHÍA DE QUINTERO @9.2km	219 SECTOR NORTE QUINTERO @6.1km	sí	no	no	
81	Caleta Pesquera Maitencillo	Caleta	MOP	05	Valparaíso	Puchuncaví	empate entre candidatas	adjudicación humana entre: 219 SECTOR NORTE QUINTERO @14.2km  vs  91 BAHÍA DE QUINTERO @17.3km	219 SECTOR NORTE QUINTERO @14.2km	sí	no	no	
105	Borde Costero El Abanico de Maitencillo	Defensa Costera	MOP	05	Valparaíso	Puchuncaví	empate entre candidatas	adjudicación humana entre: 219 SECTOR NORTE QUINTERO @15.0km  vs  91 BAHÍA DE QUINTERO @18.0km	219 SECTOR NORTE QUINTERO @15.0km	sí	no	no	
79	Caleta Pesquera Zapallar	Caleta	MOP	05	Petorca	Zapallar	empate entre candidatas	adjudicación humana entre: 219 SECTOR NORTE QUINTERO @22.8km  vs  91 BAHÍA DE QUINTERO @26.4km	219 SECTOR NORTE QUINTERO @22.8km	sí	no	no	
66	Caleta Pesquera Chigualoco	Caleta	MOP	04	Choapa	Los Vilos	fuera de todo radio	ampliar el radio a 43 km, o una bahía que hoy no está en BAHIA_COORDS	88 BAHÍA CONCHALÍ @42.2km	sí	sí	no	
65	Caleta Pesquera La Cebada	Caleta	MOP	04	Limarí	Ovalle	fuera de todo radio	ampliar el radio a 41 km, o una bahía que hoy no está en BAHIA_COORDS	88 BAHÍA CONCHALÍ @40.9km	sí	sí	no	
637	Caleta Pesquera Talquilla	Caleta	MOP	04	Limarí	Ovalle	fuera de todo radio	ampliar el radio a 57 km, o una bahía que hoy no está en BAHIA_COORDS	88 BAHÍA CONCHALÍ @56.5km	sí	sí	no	
64	Caleta Pesquera Puerto Aldea	Caleta	MOP	04	Elqui	Coquimbo	empate entre candidatas	adjudicación humana entre: 87 TONGOY @11.4km  vs  150 GUANAQUEROS @20.3km	87 TONGOY @11.4km	sí	no	no	
592	Protección Faro Monumental de La Serena	Infraestructura Portuaria	MOP	04	Elqui	La Serena	empate entre candidatas	adjudicación humana entre: 85 BAHÍA COQUIMBO @8.0km  vs  86 BAHÍA HERRADURA DE GUAYACÁN @9.9km	85 BAHÍA COQUIMBO @8.0km	sí	sí	no	
652	Tal Tal	Caleta	SERNAPESCA	II REGION	Antofagasta	Tal Tal	fuera de todo radio	ampliar el radio a 38 km, o una bahía que hoy no está en BAHIA_COORDS	79 TAL TAL @37.4km	no	no	no	
28	Caleta Pesquera Cifuncho	Caleta	MOP	02	Antofagasta	Taltal	fuera de todo radio	ampliar el radio a 32 km, o una bahía que hoy no está en BAHIA_COORDS	79 TAL TAL @31.3km	no	no	no	
26	Caleta Pesquera Paposo	Caleta	MOP	02	Antofagasta	Taltal	fuera de todo radio	ampliar el radio a 45 km, o una bahía que hoy no está en BAHIA_COORDS	79 TAL TAL @44.5km	no	no	no	
650	Coloso	Caleta	SERNAPESCA	II REGION	Antofagasta	Antofagasta	fuera de todo radio	ampliar el radio a 36 km, o una bahía que hoy no está en BAHIA_COORDS	78 CALETA COLOSO @35.5km	no	no	no	
545	Borde Costero Sector Playa El Salitre	Defensa Costera	MOP	02	Tocopilla	Tocopilla	empate entre candidatas	adjudicación humana entre: 74 BAHÍA ALGODONALES @2.3km  vs  236 CALETA VIUDA @4.6km	74 BAHÍA ALGODONALES @2.3km	no	no	no	
36	Playa Artificial El Salitre	Infraestructura Portuaria	MOP	02	Tocopilla	Tocopilla	empate entre candidatas	adjudicación humana entre: 74 BAHÍA ALGODONALES @2.3km  vs  236 CALETA VIUDA @4.5km	74 BAHÍA ALGODONALES @2.3km	no	no	no	
773	Puerto de Tocopilla	puerto	BEM				empate entre candidatas	adjudicación humana entre: 74 BAHÍA ALGODONALES @2.2km  vs  236 CALETA VIUDA @4.4km	74 BAHÍA ALGODONALES @2.2km	no	no	no	
14	Caleta Pesquera Punta Arenas	Caleta	MOP	02	Tocopilla	Tocopilla	fuera de todo radio	ampliar el radio a 47 km, o una bahía que hoy no está en BAHIA_COORDS	236 CALETA VIUDA @46.5km	sí	no	no	
9	Caleta Pesquera San Marcos	Caleta	MOP	10	Iquique	Iquique	fuera de todo radio	ampliar el radio a 35 km, o una bahía que hoy no está en BAHIA_COORDS	197 BORDE COSTERO SUR PATACHE @34.5km	no	no	no	
8	Caleta Pesquera Rio Seco	Caleta	MOP	01	Iquique	Iquique	empate entre candidatas	adjudicación humana entre: 197 BORDE COSTERO SUR PATACHE @20.9km  vs  73 PATACHE @22.8km  vs  196 BORDE COSTERO NORTE PATACHE @24.5km  vs  195 PATILLO @28.0km	197 BORDE COSTERO SUR PATACHE @20.9km	no	no	no	
666	Borde Costero Norte Patache	Defensa Costera	MANUAL	Tarapacá			empate entre candidatas	adjudicación humana entre: 195 PATILLO @8.8km  vs  196 BORDE COSTERO NORTE PATACHE @9.0km  vs  73 PATACHE @9.6km  vs  197 BORDE COSTERO SUR PATACHE @9.9km	195 PATILLO @8.8km	no	no	no	
605	Borde Costero de Chanavayita	Defensa Costera	MOP	01	Iquique	Iquique	empate entre candidatas	adjudicación humana entre: 195 PATILLO @5.4km  vs  196 BORDE COSTERO NORTE PATACHE @9.2km  vs  73 PATACHE @11.1km  vs  197 BORDE COSTERO SUR PATACHE @12.8km	195 PATILLO @5.4km	no	no	no	
6	Caleta Pesquera Chanavayita	Caleta	MOP	01	Iquique	Iquique	empate entre candidatas	adjudicación humana entre: 195 PATILLO @5.6km  vs  196 BORDE COSTERO NORTE PATACHE @9.4km  vs  73 PATACHE @11.3km  vs  197 BORDE COSTERO SUR PATACHE @13.0km	195 PATILLO @5.6km	no	no	no	
11	Caleta Pesquera Caramucho	Caleta	MOP	10	Iquique	Iquique	empate entre candidatas	adjudicación humana entre: 195 PATILLO @10.3km  vs  196 BORDE COSTERO NORTE PATACHE @14.1km  vs  73 PATACHE @16.0km  vs  197 BORDE COSTERO SUR PATACHE @17.7km	195 PATILLO @10.3km	no	no	no	
158	Caleta Pesquera de Camarones	Caleta	MOP	15	Arica	Camarones	fuera de todo radio	ampliar el radio a 44 km, o una bahía que hoy no está en BAHIA_COORDS	204 PISAGUA @43.9km	no	no	no	
