nombre,canal,geometria_ref,ancho_util_m,sonda_canal_min_m,calado_max_m,eslora_max_m,corriente_max_kt,restriccion,pagina,texto_aproximado,es_duplicado_de,contexto
Seno Gemmel,Seno Gemmel,SIN_GEOMETRIA,,,,,,,505,si,,"Seno Gemmel.- Carta No 8500. Se ubica al E de los islotes Gemmel y sobre la costa N del canal. Se interna casi 1,5 millas en dirección NNE y luego por poco más de 2 millas hacia el NE. Es profundo e i"
Canal Salquemán,Canal Salquemán,SIN_GEOMETRIA,,,,,,,505,si,,"Canal Salquemán.- Carta No 8500. Separa la costa S de las islas Salquemán, Atilio y Manuel —por el lado N— de las costa N de la isla Magdale- 4 na —por el lado S—, en una extensión de casi 13 millas e"
Seno Guesalaga,Seno Guesalaga,SIN_GEOMETRIA,,,,,,,505,si,,"Seno Guesalaga.- Carta No 8500. Se forma al S de la isla Larga y sobre la costa E de la isla Magdalena, en el lado S del canal Jacaf. Es angosto y se interna poco más de 2 millas hacia el SSE."
Seno Soto,Seno Soto,SIN_GEOMETRIA,,,,,,,506,no,,"Seno Soto.- Carta No 8500. Se forma al S de las 1 islas Bobadilla y sobre la costa N de la isla Magdalena, en el lado S del canal Jacaf. Se interna casi 10 millas en dirección SSW y es angosto y profu"
Seno Dirección,Seno Dirección,SIN_GEOMETRIA,,,,,,,506,si,,"Seno Dirección.- Carta No 8500 —Plano. Se forma al ESE y casi 3 millas de la isla Gama. Zañartu y sobre la costa continental, en el lado N del canal Jacaf. Se interna poco más de 1,5 millas en direcci"
Paso Sibbald,Paso Sibbald,SIN_GEOMETRIA,,,,,,,506,si,,"Paso Sibbald.- Carta No 8500 —Plano. Se forma en el extremo E del canal Jacaf, a poco menos de 2 millas de su unión con el canal Puyuguapi —donde el canal se hace muy tortuoso y angosto. Se extiende u"
Paso Angosto o W y paso Ancho o E,Canal Jacaf,Canal Jacaf,556,,,,,,507,no,,"Paso Angosto o W y paso Ancho o E.- La ubicación del islote Carlos y la roca Orestes, casi en el eje del paso Sibbald, determina dos pasajes, denominados paso Angosto o W y paso Ancho o E. Así, entre"
Canal Puyuguapi (o Poyeguapi),Canal Puyuguapi,SIN_GEOMETRIA,,,,,,,509,si,,"Canal Puyuguapi (o Poyeguapi).- Carta No 8500. Separa las costas S y E de la gran isla Magdalena —por el lado NW— de la costa continental —por el lado SE—, en una extensión de unas 44 millas tierra ad"
Seno Magdalena,Seno Magdalena,SIN_GEOMETRIA,,,,,,,517,si,,"Seno Magdalena.- Cartas No 8500 y 8520. Se forma al NE y unas 12 millas del islote Marta y sobre la costa E de la isla Magdalena, en el lado W del canal Puyuguapi. Se interna poco más de 8 millas en d"
Seno Ventisquero,Seno Ventisquero,SIN_GEOMETRIA,3148,,,,,,518,si,,"Seno Ventisquero.- Carta No 8520. Se forma como una continuación del canal Puyuguapi hacia el NNE, desde su entrada entre la punta Cesari y la punta De Vitts, hasta la desembocadura del río Pascua hac"
Paso Galvarino,Paso Galvarino,SIN_GEOMETRIA,,10.0,,,,,519,no,,"Paso Galvarino.- Carta No 8520. Se forma al NE y 7,8 millas de la punta Cesari y como a los dos tercios del curso del seno Ventisquero, donde hay 1 un estrecho pasaje que se extiende casi 1 milla en d"
Seno Ventisquero. Parte N,Paso Galvarino,SIN_GEOMETRIA,370,,,,,,519,no,,"Seno Ventisquero. Parte N.- Es la continuación del seno Ventisquero hacia el N del paso Galvarino, internándose 3,6 millas en dirección NE, hasta el puerto Puyuguapi. En este tramo el desahogo aumenta"
Canal Ferronave,Canal Ferronave,SIN_GEOMETRIA,,,,,,,522,no,,"Canal Ferronave.- Carta No 8620. Separa la costa E de las islas Tuap y Lola, el islote Eugenia, las islas Lela, Viola, Latolque, Tadeo, Larenas y Julián, los islotes Los Amigos y Caleuche, las islas L"
Canal Ñancul. Acceso SW,Canal Ferronave,SIN_GEOMETRIA,,,,,,,525,no,,Canal Ñancul. Acceso SW.- Carta No 8620. Separa 1 la costa SE de la isla Orestes y los islotes Nahuelanca —por el lado NW— de la costa NW de las islas Hilda y Ñancul y los islotes Pineda —por el lado
Paso Los Maceteros,Canal Ferronave,SIN_GEOMETRIA,,,,,,,532,si,,"Paso Los Maceteros.- Carta No 8620. Separa la costa E del islote El Morro, señalizado con una bali- 2 za luminosa, los islotes Tres Ratas, las islas Cárdenas, Swett y Viel y la roca Blanca —por el lad"
Canal Devia,Canal Devia,SIN_GEOMETRIA,,,,,,,536,no,480,"Canal Devia.- Carta No 8620. Separa la costa E de los islotes María Isabel y Tisne, la isla Orestes, los islotes Nahuelanca y Pineda, y las islas Ñancul, Luchín y Ester —por el lado W— de la costa con"
Canal Ñancul. Acceso NE,Canal Devia,SIN_GEOMETRIA,,,,,,,536,no,,"Canal Ñancul. Acceso NE.- Carta No 8620. Separa 0 la costa SE de la isla Orestes y los islotes Nahuelanca —por el lado NW— de la costa NW de las islas Hilda y Ñancul, y los islotes Pineda —por el lado"
Fiordo Vera,Fiordo Vera,SIN_GEOMETRIA,,,,,,,537,no,,"Fiordo Vera.- Carta No 8620. Se forma al S y 8,5 millas de la punta San Andrés y sobre la costa continental, en el lado E del canal Devia. Es pequeño y se interna aproximadamente 3 millas en dirección"
Paso Mella,Canal Devia,SIN_GEOMETRIA,185,,,,,,537,no,,Paso Mella.- Carta No 8620. Separa el borde SE de 2 la isla Ester —por el lado N— del borde N de una pequeña península que desprende la costa continental y que termina en la punta Roch —por el lado S—
Seno Elisa,Seno Elisa,SIN_GEOMETRIA,4630,,,,,,537,si,,"Seno Elisa.- Carta No 8620. Se forma WSW y 5,5 millas de la punta Roch y sobre la costa continental. Se interna casi 4 millas en dirección S y ofrece un ancho bastante parejo no menor de 7 cables. Su"
Canal Pilcomayo,Canal Pilcomayo,SIN_GEOMETRIA,,9.5,,,,,538,si,,"Canal Pilcomayo.- Carta No 8620 —Plano. Separa la costa S del islote Dirección, las islas Swett y Viel, la roca Blanca, las islas Pilcomayo, Flores y Zolá, la península Elisa, la isla Carvallo y la co"
Canal Rodríguez,Canal Rodríguez,SIN_GEOMETRIA,,,,,,,542,no,,"Canal Rodríguez.- Carta No 8620. Separa la costa S de la isla Chaculay —por el lado N— de la costa N de la isla Churrecue y los islotes Herrera —por el lado S—, en una extensión de casi 5 millas en di"
Paso Del Medio,Paso Medio,SIN_GEOMETRIA,,,,,,,543,no,,"Paso Del Medio.- Carta No 8620. Separa la costa S de la isla Gutiérrez, la isla Churrecue y el islote Rodríguez —por el lado N— de la costa N de las islas Lavín y Casma —por el lado S—, en una extensi"
Paso Casma,Paso Casma,SIN_GEOMETRIA,,,,,,,544,si,,"Paso Casma.- Carta No 8620. Separa la costa SW de las islas Lavín y Casma —por el lado NE— de la costa NE de las islas Renaico y Traiguén —por 0 el lado SW—, en una extensión de unas 4,5 millas en dir"
Fiordo Aysén,Fiordo Aysén,Fiordo Aysen,,,,,,,545,no,489,Fiordo Aysén.- Carta No 8610. Se forma justamente al E del paso Del Medio y sobre la costa continental. - 8610 - 8620 erpetrol.cl - Fecha: 24-07-2022
Paso Del Río,Fiordo Aysén,Fiordo Aysen,,,,,,,549,no,,"Paso Del Río.- Cartas No 8610 y 8611. Separa la costa SE de la isla Partida —por el lado NW— de la costa NW de la isla Carmen —por el lado SE—, en una extensión de casi 2 millas en dirección SW-NE y c"
Canal Costa,Canal Costa,SIN_GEOMETRIA,1852,,,,,,560,si,,"Canal Costa.- Carta No 8650. Separa la costa continental —por el lado E— y la costa E de las islas Casma, Traiguén y Figueroa —por el lado W—, en una extensión de poco más de 20 millas en dirección ge"
Paso Tres Cruces,Paso Tres Cruces,SIN_GEOMETRIA,,,,,,,562,si,,"Paso Tres Cruces.- Carta No 8650. Separa el borde S de la isla Rojas, la punta W de la isla Paty y el límite S de la isla Figueroa —por el lado N— del borde NE de la isla Simpson —por el lado S—, en u"
Canal Nalcayec. Acceso E,Paso Tres Cruces,SIN_GEOMETRIA,,,,,,,566,si,,"Canal Nalcayec. Acceso E.- Cartas No 8650 y 8660. 4 Separa la costa SE de la isla Simpson —por el lado W y N— de la costa W y N de la isla Huemules —por el lado E y S—, en una extensión de unas 7,5 mi"
Canal Liucura. Acceso E,Paso Tres Cruces,SIN_GEOMETRIA,,,,,,,567,si,,"Canal Liucura. Acceso E.- Carta No 8660. Separa la costa S de las islas Simpson, Huemules y Oma —por el lado N— de la costa N de la isla Nalcayec —por el lado S—, en una extensión de unas 12 millas en"
Canal Tuahuencayec. Acceso E,Paso Tres Cruces,SIN_GEOMETRIA,,,,,,,568,si,,"Canal Tuahuencayec. Acceso E.- Carta No 8660. Separa la costa S de la isla Nalcayec —por el lado N— de la costa N de la península Sisquelán —por el lado S—, en una extensión de unas 12 millas en direc"
Paso Quesahuén,Paso Quesahuén,SIN_GEOMETRIA,296,,,,,,571,no,,"Paso Quesahuén.- Carta No 8670 —Plano. Se forma al SW y 5 millas de la punta Garrao, en el extremo S del estero Elefantes. Separa la punta E de la isla Leonor —por el lado W— del veril 0 W del fondo s"
Golfo Elefantes,Golfo Elefantes,SIN_GEOMETRIA,7408,,,,,,573,si,,"Golfo Elefantes.- Carta No 8670. Se forma al S del estero Elefantes, entre el continente —por el lado 3 E— y la costa SE de la península de Taitao —por el lado W. Se interna unas 10 millas en direcció"
Paso De Vidts,Paso Vidts,SIN_GEOMETRIA,185,12.5,,,,,574,no,,"Paso De Vidts.- Carta No 8670 —Plano. Se forma en el extremo S del golfo Elefantes y hacia el S de la punta Leopardo, separando el pequeño islote Entrada —por el lado N— del veril N del bajo fondo que"
Golfo Tres Montes,Golfo Tres Montes,SIN_GEOMETRIA,44448,,,,,,583,si,,"Golfo Tres Montes.- Carta No 8800. Se forma hacia el N del golfo de Penas, entre el lado E de la penín- Cartas: 8000   AS A LOS NAVEGANTES DEL MES DE MARZO DE 2023. ES MONTES Cap. VIII sula Tres Monte"
Paso Holloway,Paso Holloway,SIN_GEOMETRIA,,,,,,,585,si,,"Paso Holloway.- Carta No 8810. Separa la costa NE de la península Tres Montes, los islotes Gemelos, el islote Guía, la punta Morro y la isla Centro —por el lado W— de la costa SW de las islas Smith, W"
Canal Chaicayán,Canal Chaicayán,SIN_GEOMETRIA,11668,,,,,,586,si,,"Canal Chaicayán.- Carta No 8810. Separa la costa W y S de la península de Taitao y la costa S de las islas Almozara y Parker —por el lado E y N— de la costa E o N de la isla Crosslet, el islote Hales,"
Seno Newman,Seno Newman,SIN_GEOMETRIA,,,,,,,588,si,,"Seno Newman.- Carta No 8800. Se forma hacia el NE de las islas Marinas y en el recodo NE del canal Chaicayán, sobre la costa continental. Se interna como por 15 millas en dirección NE y su ancho varía"
Paso Echegoyen,Golfo Tres Montes,SIN_GEOMETRIA,,,,,,,589,si,,"Paso Echegoyen.- Carta No 8810. Separa la costa SE de las islas Alex y Término —por el lado NW y W— de la costa NE de las islas Athos y Baja —por el lado SE y E—, en una extensión de poco más de 2 mil"
Golfo San Esteban,Golfo San Esteban,SIN_GEOMETRIA,16668,,,,,,593,no,,"Golfo San Esteban.- Carta No 8820. Es el gran brazo de mar de casi 9 millas de ancho que se forma en vértice NE del gran golfo de Penas, entre la isla 3 Purcell y la costa S de la península Forelius —"
Seno Escondido,Seno Escondido,SIN_GEOMETRIA,,,,,,,595,no,,"Seno Escondido.- Carta No 8820. Se forma hacia el final o término W de la bahía San Quintín y sobre la costa continental. Se interna casi 4,5 millas en 2 dirección general WSW y luego NW. Su acceso se"
Seno Aldunate,Seno Aldunate,SIN_GEOMETRIA,2222,,,,,,596,si,,"Seno Aldunate.- Carta No 8820. Se forma en la parte N de la de la bahía San Quintín y sobre la costa continental. Se interna unas 7 millas en dirección NW, separando la península Esmeralda de la costa"
Paso Expedición,Seno Aldunate,SIN_GEOMETRIA,389,,,,,,597,si,,"Paso Expedición.- Carta No 8820. Se forma en la parte NE de la bahía San Quintín y separa la costa continental S del istmo de Ofqui —por el lado N— 3 de la costa N de la isla del Diablo, fácilmente re"
Seno Expedición,Seno Expedición,SIN_GEOMETRIA,20372,,,,,,597,si,,"Seno Expedición.- Se forma en el centro de la ribera N del paso Expedición. Es un pequeño y totalmente embancado seno que se interna 1,7 millas en dirección NNW. Al NW y 1 milla del final de este seno"
Golfo de Penas,Golfo Penas,SIN_GEOMETRIA,,,,,,,600,si,407,Golfo de Penas.- Carta No 8800. Se forma justamente al S del cabo Tres Montes y sobre la costa continental. Es una gran extensión de mar que abarca desde el paralelo 46º 59' S hasta el paralelo 47º 40
