nombre,canal,geometria_ref,ancho_util_m,sonda_canal_min_m,calado_max_m,eslora_max_m,corriente_max_kt,restriccion,pagina,texto_aproximado,es_duplicado_de,contexto
Canal Queilén,Canal Queilén,SIN_GEOMETRIA,,,,,,,328,si,,"Canal Queilén.- Carta No 7432. Separa la gran abra de la costa E de la isla Chiloé, comprendida entre las puntas Queilén y Cuello —por el lado W— de la costa N, W y SW de la parte W de la isla Tranqui"
Canal Chaiguao,Canal Chaiguao,SIN_GEOMETRIA,,,,,,,335,si,,Canal Chaiguao.- Cartas No 7400 y 7440. Separa la costa N y E de la isla Cailín —por los lados S y W— de la costa S de la isla Chiloé en esta parte y el veril W del banco Chaiguao —por los lados N y E
Canal Yelcho,Canal Yelcho,Canal Yelcho,556,,,,,,337,si,,"Canal Yelcho.- Cartas No 7400 y 7440. Separa la costa E de la isla Laitec —por el lado W— del veril S del bajo Velahue y la costa W de la isla Cailín —por el lado E, en una extensión de unas 6 millas"
Canal Coldita,Canal Coldita,SIN_GEOMETRIA,,,,,,,338,si,,"Canal Coldita.- Carta No 7440.- Separa la costa W de las islas Coldita y Mauchil —por el lado E— de la costa E de la isla Chiloé —por el lado W—, en una extensión de unas 7 millas en dirección general"
Canal Laitec,Canal Laitec,tmarea_nodos_nauticos_v1.json:E-10,,,,,,,338,no,,Canal Laitec.- Cartas No 7400 y 7440. Separa la costa W de la isla Laitec —por el lado E— de la - 7400 - 7440 erpetrol.cl - Fecha: 24-07-2022
Canal San Pedro,Canal San Pedro,SIN_GEOMETRIA,,,,,5.0,,343,si,,"Canal San Pedro.- Cartas No 7432 y 7440. Separa 0 la costa S de la isla Chiloé —por el lado N— de la costa N de la isla San Pedro —por el lado S—, en una extensión de unas 6 millas en dirección E-W y"
Canal Guamblad,Canal Guamblad,SIN_GEOMETRIA,,,,,7.0,,344,si,,"Canal Guamblad.- Carta No 7500. Separa la costa E de la isla Chiloé —por el lado W— de la costa W de la isla San Pedro —por el lado E—, en una extensión de unas 5 millas en dirección general NW-SE; au"
Boca del Guafo,Boca Guafo,SIN_GEOMETRIA,29632,,,,,,345,si,148,Boca del Guafo.- Carta No 7500. Es el gran brazo de mar que se interna hacia el E de la isla Guafo y entre la costa S de la isla Chiloé —por el lado N— y el borde N de las islas Guaitecas —por el lado
Boca del Guafo,Boca Guafo,SIN_GEOMETRIA,29632,,,,,,349,si,148,"Boca del Guafo.- Cartas No 7000, 7500 y 7510. Es el gran brazo de mar que se interna hacia el E de la isla Guafo y entre la costa S de la isla Chiloé —por el lado N— y el borde N del archipiélago Guai"
Canal Quilán,Canal Quilán,SIN_GEOMETRIA,,,,,,,350,no,,"Canal Quilán.- Cartas Nos 7500 y 7510. Separa la costa S de la isla Chiloé, comprendida entre el cabo Doce 3 de Febrero y la isla Yencouma —por el lado N— del borde N de la isla Quilán y los islotes E"
Golfo Corcovado,Golfo Corcovado,Golfo Corcovado,33336,,,,,,354,si,233,Golfo Corcovado.- Carta No 7400. Es el gran brazo de mar que se forma entre la costa SE de la isla Chiloé y la costa continental comprendida entre la punta Vilcún —por el lado N— y la isla Refugio —po
Canal Puquitín,Canal Puquitín,SIN_GEOMETRIA,,,,,,,359,si,,"Canal Puquitín.- Carta No 8100. Separa la costa S de la isla Guaiteca en esta parte —por el lado N— de 0 la costa N de la isla Ascensión —por el lado S—, en una extensión de unas 6 millas en dirección"
Canal Lagreze,Canal Lagreze,SIN_GEOMETRIA,,,,,,,360,no,,"Canal Lagreze.- Cartas No 8100 y 8111. Separa la costa S de la isla Ascensión —por el lado N— de la costa N de la isla Clotilde —por el lado S—, en una extensión de como 4 millas en dirección general"
Canal Leucayec,Canal Leucayec,SIN_GEOMETRIA,1296,,,,,,362,si,,"Canal Leucayec.- Carta No 8100. Separa la costa E de las islas Mercedes y Anita, el islote Carbunco y la isla Betecoi —por el lado W— de la costa W de 0 las islas Günther, Emma, Leucayec y Laurel —por"
Canal Carbunco,Canal Carbunco,SIN_GEOMETRIA,,,,,4.0,,363,no,,"Canal Carbunco.- Cartas No 8100 y 8111. Separa la costa E de la isla Clotilde —por el lado W— de la costa W del islote Restinga, la isla Mercedes, el islote Toro y las islas Anita y Fresia —por el lad"
Canal Betecoi,Canal Betecoi,SIN_GEOMETRIA,,,,,,,363,si,,"Canal Betecoi.- Carta No 8100. Separa la costa S de las islas Clotilde y Fresia —por el lado N— de la costa N de la isla Betecoi —por el lado S—, en una extensión de unas 6 millas en dirección general"
Canal Cuervo,Canal Cuervo,SIN_GEOMETRIA,,,,,,,363,no,,"Canal Cuervo.- Carta No 8100. Separa la costa E de la isla Guaiteca en esta parte —por el lado W— de la costa W de la isla Betecoi —por el lado E—, en una extensión de casi 3 millas en dirección gener"
Canal Manzano,Canal Manzano,SIN_GEOMETRIA,,,,,,,364,si,,"Canal Manzano.- Carta No 8100. Separa la costa W de las islas Luisa, Tea y Julia —por el lado N— de la costa NE de las islas Günther y Leucayec —por el lado S—, en una extensión de unas 4 millas en 4"
Canal Moraleda,Canal Moraleda,Canal Moraleda,11112,,,,,,364,no,,"Canal Moraleda.- Carta No 8400. Es el vasto canal que separa el archipiélago Chonos —por el lado W— de la costa continental —por el lado E—, en una extensión de 90 millas en dirección N-S y presenta u"
Paso Guaitecas,Paso Guaitecas,SIN_GEOMETRIA,,,,,,,365,no,,"Paso Guaitecas.- Carta No 8100.- Separa la costa 0 S del islote Murta y la isla Guaiteca —por el lado N— de la costa N de las islas Bajas —por el lado S—, en una extensión de 6,6 millas en dirección W"
Canal Tuamapu,Canal Tuamapu,SIN_GEOMETRIA,,,,,,,366,si,,"Canal Tuamapu.- Carta No 8100. Separa la costa S de las islas Bajas, Guaiteca y Betecoi —por el lado N— de la costa N de las islas que le siguen al S del archipiélago Chonos, como las islas Tuamapu, R"
Paso Santa Isabel,Canal Tuamapu,SIN_GEOMETRIA,,,,,,,369,no,,"Paso Santa Isabel.- Carta No 8100. Separa la costa S de las islas Cuervo y Betecoi y de los islotes Pochas —por el lado N— de los peligros desprendidos al N de los islotes Gemelos —por el lado S—, en"
Canal Pérez Norte,Canal Pérez Norte,SIN_GEOMETRIA,,,,,,,370,si,,"Canal Pérez Norte.- Cartas No 8100 y 8300. Separa la costa E de las islas Sin Nombre y Amortajado, el islote Peinado, las islas Gusano, Concoto, Navarro, Elena, Valverde y Jéchica, y los islotes Direc"
Canal Luchero,Canal Luchero,SIN_GEOMETRIA,,,,,,,370,no,,"Canal Luchero.- Cartas No 8100 y 8300. Separa la costa S de los islotes Abundancia y Ostras, las Islas Sierra, Carimonei y Amita —por el lado N— de la 100 - 8300 - 8400 erpetrol.cl - Fecha: 24-07-2022"
Paso Chacao,Paso Chacao,SIN_GEOMETRIA,,,,,,,371,no,,"Paso Chacao.- Cartas No 8100 y 8300. Separa la costa S de la isla Leucayec —por el lado N— de los islotes y rocas desprendidos de la costa N de las islas Perro, Verdugo y Serrano —por el lado S—, en u"
Canal Costa Quila,Canal Costa Quila,SIN_GEOMETRIA,,,,,,,372,si,,"Canal Costa Quila.- Cartas No 8300 y 8400. Separa la costa SE de las islas Leucayec y Elvira —por el lado NW— de la costa N de las islas Sánchez y Mulchey —por el lado SE—, en una extensión de poco má"
Canal Bernal,Canal Bernal,SIN_GEOMETRIA,,,,,,,372,no,,"Canal Bernal.- Carta No 8300. Separa la costa E de la isla Sánchez —por el lado W— de la costa W de la isla Mulchey —por el lado E—, en una extensión de casi 3 millas en dirección N-S y, si bien no pr"
Canal Avellano. Acceso E,Canal Pihuel,SIN_GEOMETRIA,,,,,,,373,si,,"Canal Avellano. Acceso E.- Carta No 8300. Separa 1 la costa S de la isla Concoto —por el lado N— de la costa N de las islas Navarro y Chaffers —por el lado S—, en una extensión de poco más de 8,5 mill"
